gallery;pop;artist;title;year;city;country;lifeExp
High Desert Test Sites;1;Dineo Seshee Bopape, Alice Channer, Gerald Clarke, Jack Pierson, Dana Sherwood, Kate Lee Short, Paloma Varga Weisz, Rachel Whiteread, Erkan Özgen;The Searches;2022;Joshua Tree;United States of America;23
Jessica Silverman;1;Susan Hiller, Manfred Pernice, Hugh Scott-Douglas;Sea Changes;2017;San Francisco;United states of America;23
JOAN;2;Clarissa Tossin;​Encontro das Águas (Meeting of Waters)​;2016;Los Angeles;United States of America;23
JOAN;2;Isaac Resnikoff;Instant Ocean/WINE;2015;Los Angeles;United states of America;23
Konrad Fischer;1;Jan Dibbets;Land And Sea Horizons;2009;Berlin;Germany;23
Kristina Kite Gallery;4;Tara Walters;Cessna;2023;Los Angeles;United States of America;23
Kristina Kite Gallery;4;"
Nancy Lupo";Dying Play;2022;Los Angeles;United States of America;23
Kristina Kite Gallery;4;"
Tara Walters";Dropping In;2021;Los Angeles;United States of America;23
Kristina Kite Gallery;4;Nancy Lupo;All Always Already;2017;Los Angeles;United States of America;23
Kunsthal Aarhus;4;Jeannette Ehlers;Atlantic;2010;Aarhus;Denmark;23
Kunsthalle Lissabon;1;Irene Kopelman;Indexing Water;2018;Lissabon;Portugal;1
Kunstverein Braunschweig;1;"
Steve Bishop";Start Over Every Morning;2019;Braunschweig;Germany;1
Kunstverein Harburger Bahnhof;1;Hans Diernberger, Deniz Eroglu, Linda Nadji, Will Saunders, Adrian Williams, Helena Wittmann;I Offer You a Journey Without Direction, Uncertainty and No Sweet Conclusion;2022;Harburger Bahnhof;United States of America;3
LC QUISSER;1;Ketuta Alexi-Meskhishvili, Kenneth Bergfeld, Bekhbaatar Enkhtur, Nina Kinsturashvili, Anna Zemánková;An Ocean Standing;2023;Tbilisi;Gerogia;3
Le Case D'Arte;1;"
Alighiero e Boetti, Peter Fend";"TERRITORIES
BOETTI/FEND";2015;Milan;Italy;3
Magasin III Jaffa;1;Cosima von Bonin;Ocean and Caffeine;2019;Tel Aviv;Israel;1
Magneta Plains;1;Jennifer Bolande, Ethan Breckenridge, Francis Cape, Vija Celmins, Barbara Ess, Jeff Gibson, Dan Graham and Robin Hurst, Neil Jenney, Peter Scott, Virginia Inés Vergara;Arcadias;2018;New York;United States of America;23
Marianne Boesky Gallery,;1;Björn Braun, Pier Paolo Calzolari, Spiros Hadjidjanos, Dmitri Hertz, Helen Mirra, Ryan Mrozowski, Kate Newby, Thiago Rocha Pitta, August Strindberg;Ordering Nature;2015;New York;United States of America;23
MASSIMODECARLO;1;"
Jamian Juliano-Villani";Let’s Kill Nicole;2019;Milan;Italy;23
Matthew Marks;1;"
Vija Celmins";Untitled;2018;Los Angeles;United States of America;23
Meliksetian | Briggs;1;Bas Jan Ader;Water's Edge;2019;Los Angeles;United States of America;23
Misako & Rosen;2;Tiago Carneiro da Cunha;Green Galaxy;2022;Tokyo;United States of America;23
Misako & Rosen;2;Richard Aldrich;Twins;2013;Tokyo;Japan;23
Mishkin Gallery, Baruch College;1;Ursula Biemann, Myrlande Constant, Pia Dehne, Ant Farm, Miho Hatori, Marguerite Humeau, Will Jackson, Joan Jonas, Dominique Knowles, Alvin Lucier, Jacques Cousteau and Louis Malle, Chris Marker, Josèfa Ntjam, Roger Payne;Who Speaks for the Oceans?;2022;New York;United States of America;23
MIT List Visual Arts Center;1;"
Christine Sun Kim";Off The Charts;2020;Cambridge;United Kingdom;23
MoMA PS1;1;"
Maureen Gallace";Clear Day;2017;New York;United States of America;23
Money Gallery;1;"
Keren Cytter";ВЕЩЬ;2021;St.Petersburg;Russia;23
Museo Tamayo;1;"
Trevor Paglen";Machine Visions;2018;Mexico City;Mexico;23
Neues Museum;1;Mary Heilmann;Good Vibrations;2013;Nürnberg;Germany;23
New Jerseyy;2;Nicolas Ceccaldi;masqueradeofperfection [dot] tumblr [dot] com;2013;Basel;Swiss;23
New Jerseyy;2;Nicolas Ceccaldi;< life > masqueradeofperfection [dot] tumblr [dot] com < /life >;2012;Basel;Swiss;23
Nicelle Beauchene Gallery;3;Matthew Clifford Green;An Eye in an Ocean;2017;New York;United states of America;23
Nicelle Beauchene Gallery;3;Afruz Amighi;Far from God;2014;New York;United States of America;23
Nicelle Beauchene Gallery;3;Sarah Crowner;The Wave;2014;New York;United states of America;23
Nina Johnson;1;Nicole Wittenberg;Distant Waters;2023;Miami;United States of America;23
Nir Altman;1;Curtis Talwst Santiago;JOYvastated;2023;Munich;Germany;23
O—Overgaden;1;Sóley Ragnarsdóttir;Organizing Principles;2021;Copenhagen;Denmark;23
Oakville Galleries;1;Rebecca Brewer, Rochelle Goldberg;Waves and Waves;2019;Oakville;Canada;23
Parrasch Heijnen;2;Marcia Hafif;Marcia Hafif: Paintings, 2000 - 2014;;Los Angeles;United States of America;23
Parrasch Heijnen;2;Marcia Hafif;Marcia Hafif: Paintings, 2000 - 2014;;Los Angeles;United States of America;1
