year
2012
2011
2011
2009
2009
2013
2014
2015
2012
2012
2013
2010
2011
2013
2010
2011
2012
2013
2008
2009
2010
2007
1865
2010
1966
1965
1964
1980
2005
2007
2006
2004
2005
2007
2007
2007
2006
2006
2006
2005
2004
1979
1963
1955
1946
1857
1808
1810
2012
2013
1986
1987
1947
1945
1860
1856
1808
2014
1985
1946
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2014
2013
2013
2013
2013
2013
2013
2012
2011
2011
2011
2010
2010
2009
2009
2006
2005
2005
2005
2004
2004
2004
2003
2003
2003
2002
2001
2001
2001
2001
2001
2001
2000
2000
2000
2000
1998
1997
1995
1994
1994
1994
1994
1993
1993
1993
1992
1992
1992
1990
1990
1990
1990
1989
1989
1989
1989
1988
1985
1981
1981
1980
1980
1980
1980
1979
1978
1978
1977
1976
1974
1974
1974
1974
1973
1972
1972
1971
1971
1971
1971
1971
1971
1970
1970
1970
1969
1969
1968
1968
1967
1967
1966
1966
1965
1965
1964
1964
1963
1963
1957
1957
1954
1954
1952
1949
1946
1938
1936
1935
1928
1926
1926
1926
1926
1920
1917
1912
1911
1910
1909
1908
1906
1905
1904
1899
1899
1899
1897
1896
1896
1895
1895
1893
1891
1891
1890
1890
1888
1883
1882
1882
1882
1880
1874
1871
1870
1869
1868
1866
1865
1861
1854
1827
1794
